pen,Age,Cohort,rep,Diet,Challenge,VL
B1,35,ctl_Mock,V4,ctl,Mock,685.813487
B1,35,ctl_Mock,V5,ctl,Mock,706.283139
B1,35,ctl_Mock,V6,ctl,Mock,710.503878
B1,35,ctl_Mock,V7,ctl,Mock,565.911062
B1,35,ctl_Mock,V8,ctl,Mock,712.61861
B1,35,ctl_Mock,V9,ctl,Mock,798.710092
B1,35,ctl_Mock,V10,ctl,Mock,691.258281
B6,35,ctl_Mock,V1,ctl,Mock,860.666373
B6,35,ctl_Mock,V2,ctl,Mock,544.053003
B6,35,ctl_Mock,V3,ctl,Mock,807.121115
B6,35,ctl_Mock,V4,ctl,Mock,807.479348
B6,35,ctl_Mock,V5,ctl,Mock,817.527304
B6,35,ctl_Mock,V6,ctl,Mock,835.518355
B6,35,ctl_Mock,V7,ctl,Mock,812.15008
B6,35,ctl_Mock,V8,ctl,Mock,827.241094
B6,35,ctl_Mock,V9,ctl,Mock,761.029052
B6,35,ctl_Mock,V10,ctl,Mock,686.220895
B7,35,ctl_Mock,V1,ctl,Mock,626.577669
B7,35,ctl_Mock,V2,ctl,Mock,714.467005
B7,35,ctl_Mock,V3,ctl,Mock,791.405061
B7,35,ctl_Mock,V4,ctl,Mock,859.152721
B7,35,ctl_Mock,V5,ctl,Mock,768.741987
B7,35,ctl_Mock,V6,ctl,Mock,724.339708
B7,35,ctl_Mock,V7,ctl,Mock,655.659593
B7,35,ctl_Mock,V8,ctl,Mock,579.078139
B7,35,ctl_Mock,V9,ctl,Mock,629.684228
B7,35,ctl_Mock,V10,ctl,Mock,565.302537
B16,35,ctl_Mock,V1,ctl,Mock,612.874341
B16,35,ctl_Mock,V2,ctl,Mock,536.288774
B16,35,ctl_Mock,V3,ctl,Mock,664.086791
B16,35,ctl_Mock,V4,ctl,Mock,738.197332
B16,35,ctl_Mock,V5,ctl,Mock,621.260392
B16,35,ctl_Mock,V6,ctl,Mock,745.170086
B16,35,ctl_Mock,V7,ctl,Mock,783.563
B16,35,ctl_Mock,V8,ctl,Mock,733.7077
B16,35,ctl_Mock,V9,ctl,Mock,712.113599
B16,35,ctl_Mock,V10,ctl,Mock,743.672465
B17,35,ctl_Mock,V1,ctl,Mock,734.678101
B17,35,ctl_Mock,V2,ctl,Mock,519.477861
B17,35,ctl_Mock,V3,ctl,Mock,803.91228
B17,35,ctl_Mock,V4,ctl,Mock,462.803887
B17,35,ctl_Mock,V5,ctl,Mock,770.934481
B17,35,ctl_Mock,V6,ctl,Mock,716.60605
B17,35,ctl_Mock,V7,ctl,Mock,827.009306
B17,35,ctl_Mock,V8,ctl,Mock,779.030143
B17,35,ctl_Mock,V9,ctl,Mock,813.470631
B17,35,ctl_Mock,V10,ctl,Mock,823.464015
B2,35,ctl_Mock,V1,ctl,Mock,722.570957
B2,35,ctl_Mock,V2,ctl,Mock,657.566179
B2,35,ctl_Mock,V3,ctl,Mock,781.991926
B2,35,ctl_Mock,V4,ctl,Mock,730.819169
B2,35,ctl_Mock,V5,ctl,Mock,915.528417
B2,35,ctl_Mock,V6,ctl,Mock,853.068347
B2,35,ctl_Mock,V7,ctl,Mock,797.524478
B2,35,ctl_Mock,V8,ctl,Mock,794.303011
B2,35,ctl_Mock,V9,ctl,Mock,754.546977
B15,35,ctl_Mock,V1,ctl,Mock,629.676089
B15,35,ctl_Mock,V2,ctl,Mock,641.162784
B15,35,ctl_Mock,V3,ctl,Mock,624.202913
B15,35,ctl_Mock,V4,ctl,Mock,659.510985
B15,35,ctl_Mock,V5,ctl,Mock,701.26692
B15,35,ctl_Mock,V6,ctl,Mock,518.12574
B15,35,ctl_Mock,V7,ctl,Mock,516.643429
B2,35,ctl_SE,V1,ctl,SE,708.183067
B2,35,ctl_SE,V2,ctl,SE,544.123741
B2,35,ctl_SE,V3,ctl,SE,896.41698
B2,35,ctl_SE,V4,ctl,SE,868.631258
B2,35,ctl_SE,V5,ctl,SE,938.142064
B2,35,ctl_SE,V6,ctl,SE,850.147092
B2,35,ctl_SE,V7,ctl,SE,726.957462
B2,35,ctl_SE,V8,ctl,SE,728.308508
B2,35,ctl_SE,V9,ctl,SE,744.065672
B2,35,ctl_SE,V10,ctl,SE,749.943735
B5,35,ctl_SE,V1,ctl,SE,507.619711
B5,35,ctl_SE,V2,ctl,SE,672.935499
B5,35,ctl_SE,V3,ctl,SE,570.044662
B5,35,ctl_SE,V4,ctl,SE,679.837996
B5,35,ctl_SE,V5,ctl,SE,658.618633
B5,35,ctl_SE,V6,ctl,SE,571.330986
B5,35,ctl_SE,V7,ctl,SE,605.854512
B5,35,ctl_SE,V8,ctl,SE,606.954532
B5,35,ctl_SE,V9,ctl,SE,576.954704
B5,35,ctl_SE,V10,ctl,SE,601.079392
B12,35,ctl_SE,V1,ctl,SE,712.292756
B12,35,ctl_SE,V2,ctl,SE,698.969484
B12,35,ctl_SE,V3,ctl,SE,771.780916
B12,35,ctl_SE,V4,ctl,SE,768.446897
B12,35,ctl_SE,V5,ctl,SE,735.305981
B12,35,ctl_SE,V6,ctl,SE,766.770821
B12,35,ctl_SE,V7,ctl,SE,738.067968
B12,35,ctl_SE,V8,ctl,SE,778.353745
B12,35,ctl_SE,V9,ctl,SE,608.117107
B12,35,ctl_SE,V10,ctl,SE,731.228698
B7,35,ctl_SE,V1,ctl,SE,896.329604
B7,35,ctl_SE,V2,ctl,SE,881.40056
B7,35,ctl_SE,V3,ctl,SE,541.714358
B7,35,ctl_SE,V4,ctl,SE,916.922258
B7,35,ctl_SE,V5,ctl,SE,710.594829
B7,35,ctl_SE,V6,ctl,SE,824.746552
B7,35,ctl_SE,V7,ctl,SE,810.336749
B7,35,ctl_SE,V8,ctl,SE,857.416828
B8,35,ctl_SE,V1,ctl,SE,558.137623
B8,35,ctl_SE,V2,ctl,SE,630.672583
B8,35,ctl_SE,V3,ctl,SE,726.454609
B8,35,ctl_SE,V4,ctl,SE,722.801135
B8,35,ctl_SE,V5,ctl,SE,696.124013
B8,35,ctl_SE,V6,ctl,SE,669.859704
