pen,Age,Cohort,rep,Diet,Challenge,VL
B4,24,ctl_Mock,V4,ctl,Mock,655.479853
B4,24,ctl_Mock,V5,ctl,Mock,585.046739
B4,24,ctl_Mock,V6,ctl,Mock,591.672234
B4,24,ctl_Mock,V7,ctl,Mock,579.086806
B9,24,ctl_Mock,V1,ctl,Mock,551.590355
B9,24,ctl_Mock,V2,ctl,Mock,621.617871
B9,24,ctl_Mock,V3,ctl,Mock,629.894074
B9,24,ctl_Mock,V4,ctl,Mock,526.72389
B9,24,ctl_Mock,V5,ctl,Mock,637.995025
B9,24,ctl_Mock,V6,ctl,Mock,606.711357
B9,24,ctl_Mock,V7,ctl,Mock,589.148448
B5,24,ctl_Mock,V1,ctl,Mock,451.244835
B5,24,ctl_Mock,V2,ctl,Mock,454.51218
B5,24,ctl_Mock,V3,ctl,Mock,527.164237
B5,24,ctl_Mock,V4,ctl,Mock,449.586384
B5,24,ctl_Mock,V5,ctl,Mock,599.008949
B5,24,ctl_Mock,V6,ctl,Mock,339.747651
B2,24,ctl_Mock,V1,ctl,Mock,370.87575
B2,24,ctl_Mock,V2,ctl,Mock,415.628643
B2,24,ctl_Mock,V3,ctl,Mock,458.644999
B8,24,ctl_SE,V1,ctl,SE,705.549774
B8,24,ctl_SE,V2,ctl,SE,624.508555
B8,24,ctl_SE,V3,ctl,SE,573.276228
B8,24,ctl_SE,V4,ctl,SE,645.758736
B8,24,ctl_SE,V5,ctl,SE,662.465384
B8,24,ctl_SE,V6,ctl,SE,637.843633
B8,24,ctl_SE,V7,ctl,SE,671.819961
B8,24,ctl_SE,V8,ctl,SE,653.400549
B8,24,ctl_SE,V9,ctl,SE,648.436692
B8,24,ctl_SE,V10,ctl,SE,645.201
B12,24,ctl_SE,V1,ctl,SE,526.537431
B12,24,ctl_SE,V2,ctl,SE,715.897936
B12,24,ctl_SE,V3,ctl,SE,636.427973
B12,24,ctl_SE,V4,ctl,SE,692.979051
